Supplier,Direction,SOC,TempLabel,TempC,DCR_mOhm,,AUTO-GENERATED — do not edit. Fill DCR_<Supplier> tabs; Save As CSV UTF-8 → dcr.csv
COSPOWER,Discharge,10%,-20°C,-20,,,
COSPOWER,Discharge,20%,-20°C,-20,,,
COSPOWER,Discharge,30%,-20°C,-20,,,
COSPOWER,Discharge,40%,-20°C,-20,,,
COSPOWER,Discharge,50%,-20°C,-20,,,
COSPOWER,Discharge,60%,-20°C,-20,,,
COSPOWER,Discharge,70%,-20°C,-20,,,
COSPOWER,Discharge,80%,-20°C,-20,,,
COSPOWER,Discharge,90%,-20°C,-20,,,
COSPOWER,Discharge,10%,-10°C,-10,,,
COSPOWER,Discharge,20%,-10°C,-10,,,
COSPOWER,Discharge,30%,-10°C,-10,,,
COSPOWER,Discharge,40%,-10°C,-10,,,
COSPOWER,Discharge,50%,-10°C,-10,,,
COSPOWER,Discharge,60%,-10°C,-10,,,
COSPOWER,Discharge,70%,-10°C,-10,,,
COSPOWER,Discharge,80%,-10°C,-10,,,
COSPOWER,Discharge,90%,-10°C,-10,,,
COSPOWER,Discharge,10%,0°C,0,,,
COSPOWER,Discharge,20%,0°C,0,,,
COSPOWER,Discharge,30%,0°C,0,,,
COSPOWER,Discharge,40%,0°C,0,,,
COSPOWER,Discharge,50%,0°C,0,,,
COSPOWER,Discharge,60%,0°C,0,,,
COSPOWER,Discharge,70%,0°C,0,,,
COSPOWER,Discharge,80%,0°C,0,,,
COSPOWER,Discharge,90%,0°C,0,,,
COSPOWER,Discharge,10%,25°C,25,,,
COSPOWER,Discharge,20%,25°C,25,,,
COSPOWER,Discharge,30%,25°C,25,,,
COSPOWER,Discharge,40%,25°C,25,,,
COSPOWER,Discharge,50%,25°C,25,,,
COSPOWER,Discharge,60%,25°C,25,,,
COSPOWER,Discharge,70%,25°C,25,,,
COSPOWER,Discharge,80%,25°C,25,,,
COSPOWER,Discharge,90%,25°C,25,,,
COSPOWER,Discharge,10%,45°C,45,,,
COSPOWER,Discharge,20%,45°C,45,,,
