Supplier,Direction,SOC,TempLabel,TempLow,Value,,AUTO-GENERATED — do not edit. Fill the PM_<Supplier> tabs; this sheet flattens them. Save As CSV UTF-8 → powermaps.csv
COSPOWER,Charge,0-10%,T≤0,0,,,
COSPOWER,Charge,10-20%,T≤0,0,,,
COSPOWER,Charge,20-30%,T≤0,0,,,
COSPOWER,Charge,30-40%,T≤0,0,,,
COSPOWER,Charge,40-50%,T≤0,0,,,
COSPOWER,Charge,50-60%,T≤0,0,,,
COSPOWER,Charge,60-70%,T≤0,0,,,
COSPOWER,Charge,70-80%,T≤0,0,,,
COSPOWER,Charge,80-90%,T≤0,0,,,
COSPOWER,Charge,90-95%,T≤0,0,,,
COSPOWER,Charge,95-100%,T≤0,0,,,
COSPOWER,Charge,0-10%,0<T≤5,0,,,
COSPOWER,Charge,10-20%,0<T≤5,0,,,
COSPOWER,Charge,20-30%,0<T≤5,0,,,
COSPOWER,Charge,30-40%,0<T≤5,0,,,
COSPOWER,Charge,40-50%,0<T≤5,0,,,
COSPOWER,Charge,50-60%,0<T≤5,0,,,
COSPOWER,Charge,60-70%,0<T≤5,0,,,
COSPOWER,Charge,70-80%,0<T≤5,0,,,
COSPOWER,Charge,80-90%,0<T≤5,0,,,
COSPOWER,Charge,90-95%,0<T≤5,0,,,
COSPOWER,Charge,95-100%,0<T≤5,0,,,
COSPOWER,Charge,0-10%,5<T≤10,5,,,
COSPOWER,Charge,10-20%,5<T≤10,5,,,
COSPOWER,Charge,20-30%,5<T≤10,5,,,
COSPOWER,Charge,30-40%,5<T≤10,5,,,
COSPOWER,Charge,40-50%,5<T≤10,5,,,
COSPOWER,Charge,50-60%,5<T≤10,5,,,
COSPOWER,Charge,60-70%,5<T≤10,5,,,
COSPOWER,Charge,70-80%,5<T≤10,5,,,
COSPOWER,Charge,80-90%,5<T≤10,5,,,
COSPOWER,Charge,90-95%,5<T≤10,5,,,
COSPOWER,Charge,95-100%,5<T≤10,5,,,
COSPOWER,Charge,0-10%,10<T≤15,10,,,
COSPOWER,Charge,10-20%,10<T≤15,10,,,
COSPOWER,Charge,20-30%,10<T≤15,10,,,
COSPOWER,Charge,30-40%,10<T≤15,10,,,
COSPOWER,Charge,40-50%,10<T≤15,10,,,
COSPOWER,Charge,50-60%,10<T≤15,10,,,
COSPOWER,Charge,60-70%,10<T≤15,10,,,
COSPOWER,Charge,70-80%,10<T≤15,10,,,
COSPOWER,Charge,80-90%,10<T≤15,10,,,
